code,species,sex,tissue,sample,ensembl_datasets
tgu_Sample_1-3,tgu,F,G,TGU13,Taeniopygia guttata
tgu_Sample_10-15,tgu,M,G,TGU29,Taeniopygia guttata
tgu_Sample_2-4,tgu,M,G,TGU14,Taeniopygia guttata
tgu_Sample_3-6,tgu,M,G,TGU17,Taeniopygia guttata
tgu_Sample_4-8,tgu,F,G,TGU22,Taeniopygia guttata
tgu_Sample_5-9,tgu,F,G,TGU23,Taeniopygia guttata
tgu_Sample_6-11,tgu,F,G,TGU25,Taeniopygia guttata
tgu_Sample_7-12,tgu,M,G,TGU26,Taeniopygia guttata
tgu_Sample_8-13,tgu,M,G,TGU27,Taeniopygia guttata
tgu_Sample_9-14,tgu,F,G,TGU28,Taeniopygia guttata